id,script,inflection,
1547,DNT,e,
1548,DBY,e,
1549,DEW,e,
1550,Didcot,e,
1551,DID,e,
1552,Diggle,e,
1553,DOD,e,
1554,DON,e,
1555,DCH,e,
1556,DOR,e,
1557,DGS,e,
1558,DRF,e,
1559,DRO,e,
1560,DMF,e,
1561,DUN,e,
1562,DEE,e,
1563,DNL,e,
1564,DHM,e,
1565,EAG,e,
1566,EAL,e,
1567,ERL,e,
1568,East Anglia,e,
1569,EBL,e,
1570,ECR (old),e,
1571,EDY,e,
1572,EGF,e,
1573,ESL,e,
1574,EGN,e,
1575,ECC,e,
1576,EDL,e,
1577,EDG,e,
1578,EDB,e,
1579,Elland Road (?),e,
1580,Elland (?),e,
1581,ELR,e,
1582,Elsham,e,
1583,EXD,e,
1584,FRF,e,
1585,FKK,e,
1586,FKG,e,
1587,FNW,e,
1588,FEA,e,
1589,FRY,e,
1590,FIL,e,
1591,FPK,e,
1592,FZW,e,
1593,FLI,e,
1594,FZH,e,
1595,Gainsborough,e,
1596,GNB,e,
1597,GBL,e,
1598,GRF,e,
1599,GGV,e,
1600,GSD,e,
1601,Gateshead Metrocentre,e,
1602,GST,e,
1603,GTY,e,
1604,GTW,e,
1605,GIG,e,
1606,GBD,e,
1607,GIR,e,
1608,Glasgow,e,
1609,GLC,e,
1610,GLQ,e,
1611,GLZ,e,
1612,GCR,e,
1613,GOE,e,
1614,GOO,e,
1615,GTO,e,
1616,GRA,e,
1617,GYM,e,
1618,GNF,e,
1619,GEA,e,
1620,GMD,e,
1621,GMB,e,
1622,Grimsby,e,
1623,GRN,e,
1624,GUI,e,
1625,GSY,e,
1626,HAB,e,
1627,HGF,e,
1628,HED,e,
1629,HFX,e,
1630,HPN,e,
1631,HPQ - Harwich Parkstone Quay,e,
1632,HAT,e,
1633,HMM,e,
1634,HGT,e,
1635,HPL,e,
1636,Harwich,e,
1637,HWC,e,
1639,HFS,e,
1640,HSG,e,
1641,HVN,e,
1642,Hawksworth (?),e,
1643,HAL,e,
1644,HYM,e,
1645,HDY,e,
1646,HDG,e,
1647,HBD,e,
1648,HEC,e,
1649,HLD,e,
1650,HEL,e,
1651,HES,e,
1652,HEW,e,
1653,HHB - Heysham,e,
1654,HHB,e,
1655,HIG,e,
1656,HIN,e,
1657,HIT,e,
1658,HOY,e,
1659,"HOP,HPE",e,
1660,HBP,e,
1661,HRS,e,
1662,HIR,e,
1663,HSC,e,
1664,HGN,e,
1665,HOW,e,
1666,HBB,e,
1667,HUD,e,
1668,HUL,e,
1669,HUP,e,
1670,HCT,e,
1671,HUB,e,
1672,HUN,e,
1673,HNX,e,
1674,HUT,e,
1675,HUY,e,
1676,HYC,e,
1677,HYT,e,
1678,ILK,e,
1679,INC,e,
1680,INK,e,
1681,INV,e,
1682,IPS,e,
1683,IRL,e,
1684,KSL,e,
1685,KEI,e,
1686,KEN,e,
1687,KNS,e,
1688,KET,e,
1689,KID,e,
1690,KMK,e,
1691,KLM,e,
1692,KGX - Kings Cross,e,
1693,KLN,e,
1694,KSW,e,
1695,KDY,e,
1696,KRK,e,
1697,KKM - Kirkham,e,
1698,KKM,e,
1699,KKS,e,
1700,KIV,e,
1701,KVP,e,
1702,KNA,e,
1703,KNO,e,
1704,LDY,e,
1705,LAN,e,
1706,LGW,e,
1707,LGM,e,
1708,LZB,e,
1709,LAY,e,
1710,LMS,e,
1711,LDS,e,
1712,LEI,e,
1713,LEU,e,
1714,LEY,e,
1715,LCN - Lincoln,e,
1716,LSK,e,
1717,LIC - Lichfield,e,
1718,LIC,e,
1719,LTV,e,
1720,LTL,e,
1721,LIV,e,
1722,LOC,e,
1723,LCK,e,
1724,EUS,e,
1725,KGX,e,
1726,MYB,e,
1727,MOG - London Moorgate,e,
1728,PAD,e,
1729,STP,e,
1730,London Underground services,e,
1731,LGK,e,
1732,LGE,e,
1733,LPR,e,
1734,LOT,e,
1735,LOH,e,
1736,LOS,e,
1737,LBO,e,
1738,LWT,e,
1739,LMR,e,
1740,LUT,e,
1741,LTN - Luton Airport,e,
1742,LUX,e,
1743,LTM,e,
1744,MLT,e,
1745,MIA,e,
1746,MCO,e,
1747,MAN,e,
1748,MCV,e,
1749,Manchester,e,
1750,MHR,e,
1751,MNC,e,
1752,MPL,e,
1753,MSN,e,
1754,MSK,e,
1755,MAU,e,
1756,MAY,e,
1757,MHS,e,
1758,MMO,e,
1759,MNN,e,
1760,MEO,e,
1761,MEC,e,
1762,MGM,e,
1763,MCE,e,
1764,MEX,e,
1765,MIK,e,
1766,MBR,e,
1767,WHG,e,
1768,MLH,e,
1769,MIH,e,
1770,MIR,e,
1771,Molescroft (?),e,
1772,MTS,e,
1773,MOG,e,
1774,MSD,e,
1775,MRP,e,
1776,MCM,e,
1777,MLY,e,
1778,MPT,e,
1779,MSS,e,
1780,MSL,e,
1781,MOS,e,
1782,MSO,e,
1783,MTH,e,
1784,MYT,e,
1785,NFN,e,
1786,NTH,e,
1787,NNG,e,
1788,NCL,e,
1789,NCE,e,
1790,NCK,e,
1791,NLN,e,
1792,NMC,e,
1793,NMN,e,
1794,NWM,e,
1795,"NEW,NWP",e,
1796,NPD,e,
1797,NQY,e,
1798,NTA,e,
1799,NAY,e,
1800,NLW,e,
1801,NOA,e,
1802,NIT,e,
1803,NOR,e,
1804,Northern Ireland,e,
1805,North Wales,e,
1806,NTR,e,
1807,NRW,e,
1808,NOT,e,
1809,KNO,e,
1810,NUN,e,
1811,OKM,e,
1812,OUT,e,
1813,OXF,e,
1814,OXN,e,
1815,OXN - The Lake District,e,
1816,PAD - Paddington,e,
1817,PDG,e,
1818,PGN,e,
1819,PNL,e,
1820,PAR,e,
1821,PBL,e,
1822,Park,e,
1823,PKS,e,
1824,PAT,e,
1825,Pendleton,e,
1826,PNS,e,
1827,PNZ,e,
1828,PTH,e,
1829,PBO,e,
1830,PLS,e,
1831,PLY,e,
1832,PWW,e,
1833,PFR,e,
1834,PFM,e,
1835,POT,e,
1836,POO,e,
1837,POP,e,
1838,PLN,e,
1839,PTA,e,
1840,PTW - Prestwick,e,
1841,PTL,e,
1842,PFY,e,
1843,PRE,e,
1844,QUI,e,
1845,RNH,e,
1846,RVN,e,
1847,RWC,e,
1848,RDG,e,
1849,RBS - Redcar British Steel,e,
1850,RCC,e,
1851,RCE,e,
1852,Redcar,e,
1853,RDN,e,
1854,RED,e,
1855,RET,e,
1856,RHD,e,
1857,RIS,e,
1858,ROB,e,
1859,RCD,e,
1860,ROC,e,
1861,RML,e,
1862,ROM,e,
1863,RSG,e,
1864,RMC,e,
1865,RMC - Rotherham,e,
1866,Rotterdam,e,
1867,RKT,e,
1868,RRB,e,
1869,SFD - Salford,e,
1870,SLD,e,
1871,SAE,e,
1872,SLB,e,
1873,SAM,e,
1874,SLW,e,
1875,SNA,e,
1876,SAD,e,
1877,SNK - Sankey,e,
1878,SNK,e,
1879,SQH,e,
1880,SXY,e,
1881,SCA,e,
1882,SCU,e,
1883,SEB,e,
1884,SEA,e,
1885,SEM,e,
1886,SEC,e,
1887,SBY,e,
1888,SET,e,
1889,SHF,e,
1890,SPY,e,
1891,SIE,e,
1892,SHY,e,
1893,SRO,e,
1894,SHR,e,
1895,SLK,e,
1896,SKG,e,
1897,SKI,e,
1898,SWT,e,
1899,SLR,e,
1900,SLO,e,
1901,SMB,e,
1902,SNI,e,
1903,SOL,e,
1904,SBK,e,
1905,SES,e,
1906,Southampton Parkway,e,
1907,Southampton,e,
1908,SOP,e,
1909,SOM,e,
1910,South Stockton,e,
1911,SOW,e,
1912,SPF,e,
1913,SQU,e,
1914,SYB,e,
1915,SBE,e,
1916,SVL,e,
1917,SAC - St Albans,e,
1918,SMD,e,
1919,SAS,e,
1920,SAU,e,
1921,SCR,e,
1922,SER,e,
1923,SHJ,e,
1924,STP - St Pancras,e,
1925,SON,e,
1926,STT,e,
1927,SVG,e,
1928,STR,e,
1929,SHC,e,
1930,Strensall,e,
1931,SRN,e,
1932,SOT,e,
1933,SPT,e,
1934,SSM,e,
1935,STK,e,
1936,Stockton Riverside,e,
1937,Stockton South,e,
1938,STN,e,
1939,SUN,e,
1940,Swallownest,e,
1941,SWA,e,
1942,SWE,e,
1943,"SNN,SWN",e,
1944,TAM,e,
1945,TAU,e,
1946,TGM,e,
1947,THI,e,
1948,TBY,e,
1949,TNS,e,
1950,TNN,e,
1951,TPC,e,
1952,THC,e,
1953,TVP,e,
1954,TOD,e,
1955,TQY,e,
1956,TRR,e,
1957,TOT,e,
1958,TRA,e,
1959,TRN,e,
1960,TRU,e,
1961,ULL,e,
1962,URM,e,
1963,WFL,e,
1964,WKD,e,
1965,WDN,e,
1966,WKK,e,
1967,WKF,e,
1968,WRM,e,
1969,WAC,e,
1970,WET,e,
1971,WEL,e,
1972,WNN,e,
1973,WSA,e,
1974,WSM,e,
1975,WEY,e,
1976,WTB,e,
1977,WBR,e,
1978,WHN,e,
1979,WID,e,
1980,WGW,e,
1981,WIN,e,
1982,WDM,e,
1983,Wisbech,e,
1984,WVH,e,
1985,WOM,e,
1986,WDH,e,
1987,WDS,e,
1988,WLY,e,
1989,WOO,e,
1990,WOS,e,
1991,WRK,e,
1992,WRS,e,
1993,YRM,e,
1994,YRK,e,
1995,Zeebrugge,e,
1996,MMT,e,
1997,HEW - Heworth,e,
1998,HEW,e,
1999,HEW - Heworth Interchanges,e,
2000,Gateshead,e,
2001,Gateshead Interchange,e,
2002,Gateshead Interchanges,e,
2003,Central Station,e,
2004,South Shields,e,
2005,PAW,e,
2006,WBQ,e,
2007,Falkirk,e,
2008,AGT,e,
2009,AMY,e,
2010,Amsterdam,e,
2011,ADV,e,
2012,ANG,e,
2013,ARU,e,
2014,AVF,e,
2015,BAB (old),e,
2016,BAA,e,
2017,BTH,e,
2018,BEU,e,
2019,BDH,e,
2020,BIL,e,
2021,BTE,e,
2022,BOH,e,
2023,BOE,e,
2024,BOA,e,
2025,BDN,e,
2026,BDN - Isle of Wight,e,
2027,BNF,e,
2028,Bristol,e,
2029,BKO,e,
2030,Brussels,e,
2032,BUG,e,
2033,BUO,e,
2034,BFN,e,
2035,CMN,e,
2036,CLC,e,
2037,CBY,e,
2038,CPW,e,
2039,CCH,e,
2040,CHH,e,
2041,CHR,e,
2042,CLJ,e,
2043,Cologne,e,
2044,CSA,e,
2045,Cowes (Isle of Wight),e,
2046,CRW,e,
2047,FOC (?) - Cruachan (?),e,
2048,DEN,e,
2049,DMH,e,
2050,DUR,e,
2051,EWR,e,
2052,EBN,e,
2053,ENT,e,
2054,EMS,e,
2055,ESH,e,
2056,EVE,e,
2057,Exeter,e,
2058,EXC,e,
2059,FRM,e,
2060,FNB - Farnborough,e,
2061,FNC,e,
2062,FGT,e,
2063,FNT,e,
2064,FYS,e,
2065,FIT - Filton,e,
2066,FSB,e,
2067,FSG,e,
2068,FGH,e,
2069,FLE,e,
2070,FOD,e,
2071,FTN,e,
2072,FFD,e,
2073,FRO,e,
2074,"GIL,GLM",e,
2075,GOD,e,
2076,GBS,e,
2077,GWN,e,
2078,HME,e,
2079,HAM,e,
2080,HTF,e,
2082,HSK (old),e,
2083,HGS,e,
2084,HAV,e,
2085,HVF,e,
2087,HHE,e,
2088,HXX - Heathrow Airport,e,
2089,HDE,e,
2090,HER,e,
2091,HEX,e,
2092,HLS,e,
2093,HNA,e,
2094,HOL,e,
2095,HON,e,
2096,HOK,e,
2097,HRH,e,
2098,HOV,e,
2099,IFI,e,
2100,International,e,
2102,KYN,e,
2103,KWL,e,
2104,KGM,e,
2105,LKE,e,
2106,LKE - Isle of Wight,e,
2107,LAC,e,
2108,LIP,e,
2109,LIS,e,
2110,LIT,e,
2111,LVN,e,
2113,LLE,e,
2114,LAS,e,
2115,LBG,e,
2116,LYP,e,
2117,LYT,e,
2118,ANF - Lyndhurst Road,e,
2119,MAC,e,
2120,MIC,e,
2121,MLF,e,
2122,MFH,e,
2123,"MLB,MBK",e,
2124,"MTN,MRT",e,
2125,MIM,e,
2126,MOR,e,
2127,DBG - no 'and',e,
2128,NTL,e,
2129,NEM,e,
2130,NUT,e,
2132,OXN - Oxenholme,e,
2133,Paris,e,
2134,PWY,e,
2135,Paulsgrove,e,
2136,PBY,e,
2137,PMD,e,
2138,PCD,e,
2139,PNR,e,
2140,PTR,e,
2142,PIN,e,
2143,POK,e,
2144,PYC,e,
2145,PTA - Port Talbot,e,
2146,PTC,e,
2147,PLD,e,
2148,Portsmouth,e,
2149,PMS,e,
2150,PMH,e,
2151,PRP,e,
2152,PUL,e,
2153,PUR,e,
2154,PYL,e,
2155,RDW,e,
2156,RDB,e,
2157,RDH,e,
2158,ROM,e,
2159,RLN,e,
2160,RUN,e,
2162,Ryde Isle of Wight,e,
2163,RYD,e,
2164,RYP,e,
2165,SAL,e,
2166,SAN,e,
2167,SAN - Isle of Wight,e,
2168,SRS,e,
2169,STJ,e,
2170,SHN,e,
2172,SHW,e,
2173,SHE,e,
2174,SHO,e,
2175,SSE,e,
2176,SKE,e,
2177,SOA - Southampton Airport,e,
2178,SOU,e,
2179,SOB,e,
2180,South Wales,e,
2181,SWK,e,
2182,UPL,e,
2183,SDN,e,
2184,RYR - St Johns Road,e,
2185,RYR - St Johns Road Isle of Wight,e,
2186,STA,e,
2187,SCS,e,
2189,SUR,e,
2190,SNW,e,
2191,SWY,e,
2192,SWG,e,
2193,SWI,e,
2194,TMC,e,
2195,TEN,e,
2196,KIR,e,
2197,TBD,e,
2198,TIS,e,
2199,TTN,e,
2200,TRO,e,
2202,VIC - Victoria,e,
2203,Wakefield,e,
2204,WAL,e,
2205,WBL,e,
2206,WMN,e,
2207,Warrington,e,
2208,WAT - Waterloo,e,
2209,WBY,e,
2210,WWO,e,
2211,WSB,e,
2212,WYB,e,
2213,WHM,e,
2214,WTL,e,
2215,Wigan,e,
2216,WML,e,
2217,WIM,e,
2218,WNF,e,
2219,WTY,e,
2220,WVF,e,
2221,WLS,e,
2222,WRH,e,
2223,YMH,e,
2224,YVJ,e,
2225,AXM,e,
2226,VXH,e,
2227,WOK,e,
2228,GLD,e,
2229,SOA,e,
2239,WLI,m,
2240,WCY,m,
2241,WHP,m,
2242,WNW,m,
2243,WLD,m,
2244,WSU,m,
2245,ZLW,m,
2246,WHS,m,
2247,WHY,m,
2248,WBO,m,
2249,WOH,m,
2250,WME,m,
2251,HYR,m,
2252,HEV,m,
2253,HIB,m,
2254,HLM,m,
2255,HPA,m,
2256,HSY,m,
2257,HUR,m,
2258,KLY,m,
2259,KND,m,
2260,LYE,m,
2261,LWS,m,
2262,LFD,m,
2263,MHM,m,
2265,1,e,
2266,2,e,
2267,3,e,
2268,4,e,
2269,5,e,
2270,6,e,
2271,7,e,
2272,8,e,
2273,9,e,
2274,10,e,
2275,11,e,
2276,12,e,
2277,13,e,
2278,14,e,
2279,15,e,
2280,16,e,
2281,17,e,
2282,18,e,
2283,19,e,
2284,20,e,
2285,21,e,
2286,22,e,
2287,23,e,
2288,24,e,
2289,25,e,
2290,26,e,
2291,27,e,
2292,28,e,
2293,29,e,
2294,30,e,
2295,31,e,
2296,32,e,
2297,33,e,
2298,34,e,
2299,35,e,
2300,36,e,
2301,37,e,
2302,38,e,
2303,39,e,
2304,40,e,
2305,41,e,
2306,42,e,
2307,43,e,
2308,44,e,
2309,45,e,
2310,46,e,
2311,47,e,
2312,48,e,
2313,49,e,
2314,50,e,
2315,51,e,
2316,52,e,
2317,53,e,
2318,54,e,
2319,55,e,
2320,56,e,
2321,57,e,
2322,58,e,
2323,59,e,
2324,00 - hundred,e,
2325,00 - hundred-hours,e,
2326,this is an emergency announcement,s,
2327,for customers at castleford station,e,
2328,for customers at newton aycliffe station,e,
2329,please leave the station by the main exit,m,
2330,and proceed to the town centre,e,
2331,listen for announcement by the emergency services,e,
2332,there is an emergency at a nearby chemical works,s,
2333,please leave the station by the ramp from platform 1,m,
2334,and turning left make your way to a position of safety,e,
2336,northern spirit,m,
2337,connex south central,m,
2340,croydon tramlink,m,
2342,london underground,m,
2344,diverted,m,
2345,racecourse special,m,
2346,additional football special,m,
2351,COL,m,
2355,MIJ,m,
2356,MDS,m,
2357,MCB,m,
2359,DYC,m,
2360,INR,m,
2361,INS,m,
2362,HNT,m,
2363,KEH,m,
2364,ELG,m,
2365,FOR,m,
2366,NRN,m,
2368,DBG - Dunbridge,e,
2369,NVH,m,
2370,NVN,m,
2371,NRB,m,
2372,NSB,m,
2373,NDL,m,
2374,NWD,m,
2375,NUF,m,
2376,OLY,m,
2377,OXT,m,
2378,PDW,m,
2379,PMR,m,
2380,PNW,m,
2381,PHR,m,
2382,PET,m,
2383,PEV,m,
2384,PEB,m,
2385,PMP,m,
2386,PLG,m,
2387,PUO,m,
2388,north western trains,e,
2389,QRP,m,
2390,"REE,RHM",m,
2391,REI,m,
2392,Streetly,m,
2393,RDD,m,
2394,SAF,m,
2395,SNR,m,
2396,SEF,m,
2397,wales and west alphaline,e,
2398,DFI,m,
2399,wales and west,e,
2401,the next train at platform,s,
2402,will be the service to,m,
2403,will be the service from,m,
2404,expected at,m,
2405,this train is subject to a delay of approximately,m,
2406,and now is expected at,m,
2407,and is now expected at,m,
2408,has been cancelled,e,
2409,the next service to,s,
2410,is expected at,m,
2411,we apologise for any inconvenience this may cause,w,
2412,due to depart at,m,
2413,and is now expected to depart at,m,
2414,there are no more services from this station today,w,
2415,we regret that the information facility is not in operation,w,
2416,we regret that the help facility is not in operation,w,
2417,the help facility is currently in use,w,
2418,please wait for a return call,w,
2419,all train services are subject to delay or cancellation,w,
2420,please listen for announcements,w,
2421,all train services have been suspended,w,
2422,a replacement bus service is in operation,w,
2423,please wait your call will be answered shortly,w,
2428,MTC,m,
2437,is subject to a delay of approximately,m,
2438,Cross,m,
2439,from (click),m,
2440,this train calls at,s,
2441,on request,e,
2443,on request,m,
2455,a security alert,m,
2456,a security alert,e,
2459,scotrail,m,
2460,regional railways alphaline,m,
2472,connex south eastern,m,
2475,thameslink,m,
2488,blue zone,m,
2490,purple zone,m,
2491,orange zone,m,
2492,gold zone,m,
2493,engineering work,m,
2494,engineering work,e,
2495,the,s,
2496,scotrail express,m,
2497,intercity charter,m,
2498,regional railways charter,m,
2499,west yorkshire metro train,m,
2500,ALF,m,
2501,AHS,m,
2503,AHS - Surrey,m,
2504,ABW,m,
2505,Addiscombe,m,
2506,ASN,m,
2507,ADM,m,
2508,AYP,m,
2509,AHT,m,
2510,AON,m,
2511,ANZ,m,
2512,APD,m,
2513,ACT,m,
2514,ASH,m,
2515,AHV,m,
2516,AFS,m,
2517,AFK - Ashford Kent,m,
2518,AFS - Middlesex,m,
2519,AFK,m,
2520,BOG,m,
2522,BMC,m,
2523,BAG,m,
2524,BAB,m,
2525,BAL,m,
2526,BAD,m,
2527,BMG,m,
2528,BNH,m,
2529,BNS,m,
2530,BNI,m,
2531,BBL,m,
2532,BAK,m,
2533,BAT,m,
2534,BSD,m,
2535,BEC,m,
2536,BKJ,m,
2537,BKS,m,
2538,BGM,m,
2539,BLM,m,
2540,CLR,m,
2541,CUW,m,
2542,CLH,m,
2543,CAM,m,
2544,CBE,m,
2545,CBW,m,
2546,CSH,m,
2547,CSB,m,
2548,CAT,m,
2549,CTF,m,
2550,CFB,m,
2551,CHG,m,
2552,CTN,m,
2553,CRT,m,
2554,CTM,m,
2555,CHE,m,
2556,CLD,m,
2557,CHY,m,
2558,CSN,m,
2559,CSS,m,
2560,CSW - Chestfield,m,
2561,CIL,m,
2562,CHL,m,
2563,CHP,m,
2564,CHK,m,
2565,DNN,m,
2566,DKR,m,
2567,DWN,m,
2568,DFD,m,
2569,DAT,m,
2570,DEA,m,
2571,DMK,m,
2572,DEP,m,
2573,DLH,m,
2574,DKG,m,
2575,DPD,m,
2576,DKT,m,
2577,DMS,m,
2578,DVP,m,
2579,DMP,m,
2580,DNG,m,
2581,EAD,m,
2582,"ELD,EWD",m,
2583,EAR,m,
2584,ECR,m,
2585,EDW,m,
2586,EFL,m,
2587,EGR,m,
2588,EML,m,
2589,EBN,m,
2590,FLS,m,
2592,FCN,m,
2593,FMR,m,
2594,FNN,m,
2595,FNH,m,
2596,ALM,m,
2597,ACK,m,
2598,ALW,m,
2599,Armley,m,
2600,EDN,m,
2601,EBR,m,
2602,EBT,m,
2603,EFF,m,
2604,EGH,m,
2605,EPH,m,
2606,ELE,m,
2607,ELW,m,
2608,EPS,m,
2609,EPD,m,
2610,ERI,m,
2611,ERH,m,
2612,ESH,m,
2613,ETC,m,
2614,EWE,m,
2615,EWW,m,
2616,EYN,m,
2617,ABY,m,
2618,ABY - for Bellvue,m,
2619,BTT,m,
2620,BLL,m,
2621,BIA,m,
2622,BLO,m,
2623,"BMP,BRP",m,
2624,CSM,m,
2625,CHT,m,
2626,COM,m,
2627,CRB,m,
2628,DNY,m,
2629,DND,m,
2630,Dobbs Brow,m,
2631,Droylsden,m,
2632,DOT,m,
2633,EGT,m,
2634,Elland,m,
2635,GLS,m,
2636,GTA,m,
2637,CRM,m,
2638,GMT,m,
2639,GYP,m,
2640,HOD,m,
2641,HID,m,
2642,HTW,m,
2643,HLY,m,
2644,HWH,m,
2645,HDB,m,
2646,HEI,m,
2647,KLD,m,
2648,LHM,m,
2649,Liverpool,m,
2650,MUF,m,
2651,ING,m,
2652,MTO,m,
2653,Milnsbridge (?),m,
2654,MSH,m,
2655,NCL - Newcastle Central,m,
2656,NRD,m,
2657,NNT,m,
2658,PEG,m,
2659,PRU,m,
2660,"JOH,JHN",m,
2661,RDM,m,
2662,RUS,m,
2663,SHD,m,
2664,SLH,m,
2665,SKS,m,
2666,TEA,m,
2667,Thornhill,m,
2668,WRL,m,
2669,WDD,m,
2670,WGN,m,
2671,WYM,m,
2672,YRM,m,
2673,ERI (2),m,
2674,ERH (2),m,
2675,ESH (2),m,
2676,ETC (2),m,
2677,EWE (2),m,
2678,EWW (2),m,
2679,EYN (2),m,
2680,KGT,m,
2681,KGH,m,
2682,KGE,m,
2683,KIN,m,
2684,KKN,m,
2685,FCN,m,
2686,FMR,m,
2687,FNN,m,
2688,FNH,m,
2689,FNR,m,
2690,FAV,m,
2691,FEL,m,
2692,FOH,m,
2693,FRT,m,
2694,FML,m,
2695,FLW,m,
2696,GIL,m,
2697,GLM,m,
2698,GIP,m,
2699,GLY,m,
2700,LAM,m,
2701,LHO,m,
2702,VIC,m,
2703,WAT,m,
2704,LBT,m,
2705,LNZ,m,
2706,LIN,m,
2707,LSN,m,
2708,LVG,m,
2709,LCG,m,
2710,LND,m,
2711,GDN,m,
2712,GOM,m,
2713,GRV,m,
2714,GNH,m,
2715,GNW,m,
2716,HCB,m,
2717,HAI,m,
2718,HMT,m,
2719,HMD,m,
2720,HMP,m,
2721,HMC,m,
2722,HMW,m,
2723,HRM,m,
2724,HSK,m,
2725,HNH,m,
2726,HOR,m,
2727,LVM,m,
2728,ACL,m,
2729,ALK,m,
2730,MRB,m,
2731,MLR,m,
2732,MON,m,
2733,MUB,m,
2734,MDL,m,
2735,ATL,m,
2736,BLP,m,
2737,BIN,m,
2738,BTF,m,
2739,DLS,m,
2740,WGT,m,
2741,ASP,m,
2742,MRY,m,
2743,FLM,m,
2744,WKG,m,
2745,HRR,m,
2746,PRN,m,
2747,WTH,m,
2748,BND,m,
2749,BDA,m,
2750,NAR,m,
2751,NEL,m,
2752,NHY,m,
2753,NWR,m,
2754,NBW,m,
2755,NQU,m,
2756,BGA,m,
2757,CWM,m,
2758,PPL,m,
2759,AGV,m,
2760,HFD,m,
2761,LEO,m,
2762,LUD,m,
2763,CRV,m,
2764,CTT,m,
2765,SHR,m,
2766,"WHT,WCH,WTC",m,
2767,NAN,m,
2768,BRW,m,
2770,Oldham,m,
2771,OLM,m,
2772,OLW,m,
2773,KPA,m,
2774,"MAS,MRM",m,
2775,CRM (2),m,
2776,BGG,m,
2777,LCN,m,
2780,BFR - Blackfriars,m,
2781,BKA,m,
2782,BGH,m,
2783,BRX,m,
2784,BMS,m,
2785,ZCW,m,
2786,CST - Cannon Street,m,
2787,CHX - Charing Cross,m,
2790,PMB,m,
2791,PNA,m,
2792,PIT,m,
2793,PMT,m,
2794,PST,m,
2795,CRI,m,
2796,CFT,m,
2797,Dover,m,
2798,DUR,m,
2799,Eastfields,m,
2800,ELS,m,
2801,EBA,m,
2802,ZFD,m,
2803,FLT,m,
2804,FKC - Folkestone,m,
2805,GBS,m,
2806,HLN,m,
2807,HPD,m,
2808,HEN,m,
2809,KTN,m,
2810,KDB,m,
2811,Kings Cross Thameslink,m,
2812,LAD,m,
2813,LEA,m,
2814,LHD,m,
2815,"LEE,LIH",m,
2816,LEW,m,
2817,CST,m,
2818,CHX,m,
2819,LRB,m,
2820,RGW,m,
2821,ROS,m,
2822,LRD,m,
2823,London Road,m,
2824,WAE,m,
2825,LGJ,m,
2826,LSY,m,
2827,MIL,m,
2828,MTG,m,
2829,NBC,m,
2830,NWX,m,
2831,NEH,m,
2832,NVM,m,
2833,Newhaven,m,
2834,NHD,m,
2835,NXG,m,
2836,ORP,m,
2837,OTF,m,
2838,RDT,m,
2839,RVB,m,
2840,SFD,m,
2841,SDF,m,
2842,SHA,m,
2844,SHS,m,
2845,SLA,m,
2846,SGL,m,
2847,STG,m,
2848,RBR,m,
2849,RTR,m,
2850,AVM,m,
2851,BSI,m,
2852,Barry Lines (?),m,
2853,BHG,m,
2854,BLH,m,
2855,BBG,m,
2856,BLA,m,
2857,BEA,m,
2858,BRC,m,
2859,BYF,m,
2860,BTS,m,
2861,CBL,m,
2862,CMO,m,
2863,CDD,m,
2864,Carlin (?),m,
2865,CAN,m,
2866,CAG,m,
2867,CEA,m,
2868,COW,m,
2869,CRO,m,
2870,UDD,m,
2871,UHA,m,
2872,CUH,m,
2873,DAM,m,
2874,DLW,m,
2875,DRM,m,
2876,DBL,m,
2877,DFE - Dunfermline,m,
2878,DKD,m,
2879,EDB - Edinburgh Waverley,m,
2880,FLD,m,
2881,GLE,m,
2882,GLT - Glenrothes,m,
2883,GLT,m,
2884,GOF,m,
2885,ROE,m,
2886,SEV,m,
2887,SDE,m,
2888,SEH,m,
2889,WHG,m,
2890,WSR,m,
2891,WOR,m,
2892,WAF,m,
2893,WCL,m,
2894,WTA,m,
2895,WBR,m,
2896,BUX,m,
2897,CEF,m,
2898,DVN,m,
2899,DSL,m,
2900,DVH,m,
2901,FNV,m,
2902,GCT,m,
2903,HAZ,m,
2904,HLI,m,
2905,HTC,m,
2906,RSH - Rose Hill,m,
2907,RSH,m,
2908,FIT,m,
2909,SRT,m,
2910,SID,m,
2911,SGR,m,
2912,CDN - Smitham,m,
2913,SBM,m,
2914,SCY,m,
2915,SMO,m,
2916,SEE,m,
2917,SIH,m,
2918,SLQ,m,
2919,SMY,m,
2920,AHD,m,
2921,AYL,m,
2922,AYH,m,
2923,AUR,m,
2924,ADW,m,
2925,BEG,m,
2926,BVD,m,
2927,"BTY,BYK",m,
2928,BRS,m,
2929,BRK,m,
2930,BTO,m,
2931,BEX,m,
2932,BXY,m,
2933,BXH,m,
2934,BKL,m,
2935,BCH - Birchington,m,
2936,BIK,m,
2937,BIP,m,
2938,BAW,m,
2939,BRG - Borough Green,m,
2940,BXW,m,
2941,BCE,m,
2942,"BMY,BLE",m,
2943,BFD,m,
2944,BRX,m,
2945,BSR,m,
2946,BCY,m,
2947,BMN,m,
2948,BMS,m,
2949,BKO,m,
2950,BUG,m,
2951,BXD,m,
2952,BFN,m,
2953,CLA,m,
2954,CLP,m,
2955,CLG,m,
2956,CLK,m,
2957,CSD - Cobham,m,
2958,CSD,m,
2959,CLL,m,
2960,COB,m,
2961,CBR,m,
2962,CDS,m,
2963,CWN,m,
2964,CRY,m,
2965,CFT,m,
2966,COH,m,
2967,CWU,m,
2968,CRN,m,
2969,CYP,m,
