id,script,inflection,comment,type,suppress
0,sfx - silence,,,,
1,platform,s,,,
2,platform,"m,e",,,
3,for,m,,,
4,service to,m,,,
5,service from,m,,,
6,calling at,m,,,
7,and,m,,,
8,passengers for,s,,,
9,should change at,m,,,
10,a trolley service,s,,,
11,of drinks and light refreshments,m,,,
12,is available,e,,,
13,is available on this train,e,,,
15,this train,m,,,
16,will not call at,m,,,
18,there will be a special bus service in operation,s,,,
19,between,m,,,
22,customers for,s,,,
23,we are sorry to announce that,m,,,
24,is delayed,m,,,
25,the,"s,e",,,
27,is delayed by approximately,m,,,
28,minutes,e,,,
29,we apologise for the inconvenience caused,w,,,
30,please listen for further announcements,w,,,
31,due to,m,,,
32,a staff shortage,e,,disruption-reason,
33,a points failure,e,,disruption-reason,
34,signalling difficulties,e,,disruption-reason,
35,the late arrival of an incoming train,e,,disruption-reason,
36,bad weather conditions,e,,disruption-reason,
37,engineering works,e,,disruption-reason,
38,vandalism,e,,disruption-reason,
39,a train failure,e,,disruption-reason,
40,overhead electric line problems,e,,disruption-reason,
41,a signalling apparatus failure,e,,disruption-reason,
42,mechanical problems,e,,disruption-reason,
43,trespass on the line,e,,disruption-reason,
44,an incident on the line,e,,disruption-reason,
45,suspected damage to a railway bridge,e,,disruption-reason,
46,cancellation of the incoming service,e,,disruption-reason,
47,adverse weather conditions,e,,disruption-reason,
48,attention please,s,,,
49,here is a special announcement,m,,,
63,the next service is at,s,,,
64,stand clear of the doors at,s,,,
65,this train is ready to leave,e,,,
71,for the (ee),m,,,
72,for the (uh),m,,,
76,testing testing,s,,,
77,1 2 3,m,,,
78,4 5 6,m,,,
79,7 8,m,,,
80,9 10,e,,,
91,coaches,e,,,
95,only,e,,,
122,should change here,e,,,
123,this is a platform alteration,w,,,
127,via,m,,,
128,delayed,m,,,
129,has been cancelled,e,,,
132,a staff shortage,m,,disruption-reason,
133,a points failure,m,,disruption-reason,
134,signalling difficulties,m,,disruption-reason,
135,the late arrival of an incoming train,m,,disruption-reason,
136,bad weather conditions,m,,disruption-reason,
137,engineering works,m,,disruption-reason,
138,vandalism,m,,disruption-reason,
139,a train failure,m,,disruption-reason,
140,overhead electric line problems,m,,disruption-reason,
141,a signalling apparatus failure,m,,disruption-reason,
142,mechanical problems,m,,disruption-reason,
143,trespass on the line,m,,disruption-reason,
144,an incident on the line,m,,disruption-reason,
145,suspected damage to a railway bridge,m,,disruption-reason,
146,cancellation of the incoming service,m,,disruption-reason,
147,adverse weather conditions,m,,disruption-reason,
165,at,m,,,
179,is the (uh),m,,,
180,is the (ee),m,,,
184,is delayed,e,,,
201,1,s,,platform,
202,2,s,,platform,
203,3,s,,platform,
204,4,s,,platform,
205,5,s,,platform,
206,6,s,,platform,
207,7,s,,platform,
208,8,s,,platform,
209,9,s,,platform,
210,10,s,,platform,
211,11,s,,platform,
212,12,s,,platform,
213,13,s,,platform,
214,14,s,,platform,
215,15,s,,platform,
216,16,s,,platform,
217,17,s,,platform,
218,18,s,,platform,
219,19,s,,platform,
220,20,s,,platform,
241,1,e,,platform,
242,2,e,,platform,
