id,script,inflection,comment,type,suppress
243,3,e,,platform,
244,4,e,,platform,
245,5,e,,platform,
246,6,e,,platform,
247,7,e,,platform,
248,8,e,,platform,
249,9,e,,platform,
250,10,e,,platform,
251,11,e,,platform,
252,12,e,,platform,
253,13,e,,platform,
254,14,e,,platform,
255,15,e,,platform,
256,16,e,,platform,
257,17,e,,platform,
258,18,e,,platform,
259,19,e,,platform,
260,20,e,,platform,
275,midland mainline turbostar,m,,toc,
305,south west trains,m,,toc,
342,the train now at,s,,,
343,is the delayed,m,,,
348,for the delayed,m,,,
365,the next train at platform,s,,,
386,penalty fares are in operation in this area,w,,,
388,all passengers must be in possession of a valid ticket,s,,,
389,or authority to travel,m,,,
390,before travelling on services from this station,e,,,
391,if you are asked to produce a ticket and are unable to do so,s,,,
399,sfx - beep,,,,
400,sfx - four chimes,,,,
401,ABD,m,,station,
402,ACR,m,,station,
403,"ADC,ADL",m,,station,
407,ALM,m,,station,
408,ALP,m,,station,
409,CHU,m,,station,
409a,ANN,m,,station,
410,AFV,m,,station,
411,APP,m,,station,
412,APB,m,,station,
413,ARB,m,,station,
414,ADK,m,,station,
415,AWT,m,,station,
416,GTR,m,,station,
416a,ARR,m,,station,
417,ABY,m,,station,
418,AHN,m,,station,
419,ATN,m,,station,
420,ATB,m,,station,
421,KTL,m,,station,
422,AUK,m,,station,
423,AYR,m,,station,
424,BLD,m,,station,
425,BMB,m,,station,
426,BAM,m,,station,
427,BAN,m,,station,
428,BAR,m,,station,
429,BTB,m,,station,
430,BNY,m,,station,
431,BRR,m,,station,
432,BRL,m,,station,
433,BSK,m,,station,
433a,CEF,m,,station,
435,BDM,m,,station,
436,BEE,m,,station,
437,BLV,m,,station,
438,BEM,m,,station,
439,BEY,m,,station,
440,BEN,m,,station,
441,"BTY,BYK",m,,station,
442,BBW,m,,station,
443,"BRK,BWK",m,,station,
444,TTF,m,,station,
445,BES,m,,station,
446,BEV,m,,station,
447,BIL,m,,station,
448,BIY,m,,station,
449,BWD,m,,station,
450,BHI,m,,station,
451,BHM,m,,station,
452,Birmingham,m,,station,
453,BBN,m,,station,
454,BPN,m,,station,
455,BPB,m,,station,
456,BPS,m,,station,
457,EDP,m,,station,
457a,Blackpool,m,,station,
458,BLK,m,,station,
459,BOD,m,,station,
460,BON,m,,station,
463,BMH,m,,station,
465,BDQ,m,,station,
466,BDI,m,,station,
467,"BMY,BLE",m,,station,
468,BSM,m,,station,
469,BDY,m,,station,
470,BGN,m,,station,
471,BWT,m,,station,
472,BDT,m,,station,
473,BTN,m,,station,
474,BGH,m,,station,
477,BPW,m,,station,
478,BRI,m,,station,
480,BGE,m,,station,
481,BCU,m,,station,
487,BGL,m,,station,
490,BNA,m,,station,
491,"BUD,BUI",m,,station,
492,MCO,m,,station,
493,Burnley Transpennine,m,,station,
494,BCB,m,,station,
495,BUT,m,,station,
496,BSE,m,,station,
497,CBN,m,,station,
498,CBG,m,,station,
499,Cardiff,m,,station,
500,CDB - Cardiff Bute Road,m,,station,
501,CDF,m,,station,
502,CDQ,m,,station,
503,CAK,m,,station,
504,CAR,m,,station,
506,CAN,m,,station,
507,CRS,m,,station,
513,CNM,m,,station,
514,CYT,m,,station,
515,CTR,m,,station,
516,CHD,m,,station,
517,CLS,m,,station,
518,CLY,m,,station,
519,CRL,m,,station,
520,CHF,m,,station,
521,CTW,m,,station,
531,COV,m,,station,
532,CRE,m,,station,
535,CMY,m,,station,
537,CUP,m,,station,
539,DAR,m,,station,
542,DWL,m,,station,
543,DWW,m,,station,
548,DBY,m,,station,
554,DON,m,,station,
560,DMF,m,,station,
561,DUN,m,,station,
562,DEE,m,,station,
563,DNL,m,,station,
564,DHM,m,,station,
578,EDB,m,,station,
583,EXD,m,,station,
585,FKK,m,,station,
586,FKG,m,,station,
607,GIR,m,,station,
609,GLC,m,,station,
610,GLQ,m,,station,
616,GRA,m,,station,
619,GEA,m,,station,
643,"HAL,HYL",m,,station,
644,HYM,m,,station,
646,HDG,m,,station,
647,HBD,m,,station,
668,HUL,m,,station,
672,HUN,m,,station,
673,HNX,m,,station,
680,INK,m,,station,
681,INV,m,,station,
687,KNS,m,,station,
689,KID,m,,station,
690,KMK,m,,station,
691,KLM,m,,station,
695,KDY,m,,station,
704,LDY,m,,station,
705,LAN,m,,station,
710,LMS,m,,station,
711,LDS,m,,station,
712,LEI,m,,station,
713,LEU,m,,station,
716,LSK,m,,station,
721,LIV,m,,station,
722,LOC,m,,station,
724,EUS,m,,station,
725,KGX,m,,station,
726,MYB,m,,station,
727,MOG - London Moorgate,m,,station,
728,PAD,m,,station,
729,STP,m,,station,
736,LOS,m,,station,
745,MIA,m,,station,
746,MCO,m,,station,
747,MAN,m,,station,
748,MCV,m,,station,
749,Manchester,m,,station,
750,MHR,m,,station,
751,MNC,m,,station,
755,MAU,m,,station,
756,MAY,m,,station,
757,MHS,m,,station,
763,MCE,m,,station,
766,MBR,m,,station,
772,MTS,m,,station,
778,MPT,m,,station,
783,MTH,m,,station,
787,NNG,m,,station,
788,NCL,m,,station,
790,NCK,m,,station,
797,NQY,m,,station,
798,NTA,m,,station,
801,NOA,m,,station,
802,NIT,m,,station,
806,NTR,m,,station,
808,NOT,m,,station,
813,OXF,m,,station,
814,OXN,m,,station,
815,OXN - The Lake District,m,,station,
816,PAD - Paddington,m,,station,
817,PDG,m,,station,
818,PGN,m,,station,
820,PAR,m,,station,
827,PNZ,m,,station,
828,PTH,m,,station,
829,PBO,m,,station,
831,PLY,m,,station,
832,PWW,m,,station,
836,POO,m,,station,
838,PLN,m,,station,
840,PTW,m,,station,
841,PTL,m,,station,
843,PRE,m,,station,
844,QUI,m,,station,
848,RDG,m,,station,
854,RED,m,,station,
855,RET,m,,station,
860,ROC,m,,station,
870,SLD,m,,station,
879,SQH,m,,station,
881,SCA,m,,station,
889,SHF,m,,station,
912,SPF,m,,station,
920,SAU,m,,station,
921,SCR,m,,station,
922,SER,m,,station,
926,STT,m,,station,
927,SVG,m,,station,
928,STR,m,,station,
932,SOT,m,,station,
933,SPT,m,,station,
938,STN,m,,station,
939,SUN,m,,station,
944,TAM,m,,station,
945,TAU,m,,station,
946,TGM,m,,station,
953,TVP,m,,station,
957,TOT,m,,station,
959,TRN,m,,station,
960,TRU,m,,station,
967,WKF,m,,station,
974,WSM,m,,station,
979,WID,m,,station,
980,WGW,m,,station,
981,WIN,m,,station,
982,WDM,m,,station,
984,WVH,m,,station,
994,YRK,m,,station,
1006,WBQ,m,,station,
1017,BTH,m,,station,
1091,HEX,m,,station,
1139,PNR - Penrith,m,,station,
1178,SOU,m,,station,
1186,STA,m,,station,
1187,SCS,m,,station,
1200,TRO,m,,station,
1216,WML,m,,station,
1229,SOA,m,,station,
1240,00 - midnight,s,time - mins,hour,
1241,01,s,time - mins,hour,
1242,02,s,time - mins,hour,
1243,03,s,time - mins,hour,
1244,04,s,time - mins,hour,
1245,05,s,time - mins,hour,
1246,06,s,time - mins,hour,
1247,07,s,time - mins,hour,
1248,08,s,time - mins,hour,
1249,09,s,time - mins,hour,
1250,10,s,time - mins,hour,
1251,11,s,time - mins,hour,
1252,12,s,time - mins,hour,
1253,13,s,time - mins,hour,
1254,14,s,time - mins,hour,
1255,15,s,time - mins,hour,
1256,16,s,time - mins,hour,
1257,17,s,time - mins,hour,
1258,18,s,time - mins,hour,
1259,19,s,time - mins,hour,
1260,20,s,time - mins,hour,
1261,21,s,time - mins,hour,
1262,22,s,time - mins,hour,
1263,23,s,time - mins,hour,
1264,oclock,m,,,
1265,01,m,time - mins,mins,
1266,02,m,time - mins,mins,
1267,03,m,time - mins,mins,
1268,04,m,time - mins,mins,
1269,05,m,time - mins,mins,
1270,06,m,time - mins,mins,
1271,07,m,time - mins,mins,
1272,08,m,time - mins,mins,
1273,09,m,time - mins,mins,
1274,10,m,time - mins,mins,
1275,11,m,time - mins,mins,
1276,12,m,time - mins,mins,
1277,13,m,time - mins,mins,
1278,14,m,time - mins,mins,
1279,15,m,time - mins,mins,
1280,16,m,time - mins,mins,
1281,17,m,time - mins,mins,
1282,18,m,time - mins,mins,
1283,19,m,time - mins,mins,
1284,20,m,time - mins,mins,
1285,21,m,time - mins,mins,
1286,22,m,time - mins,mins,
1287,23,m,time - mins,mins,
1288,24,m,time - mins,mins,
1289,25,m,time - mins,mins,
1290,26,m,time - mins,mins,
1291,27,m,time - mins,mins,
1292,28,m,time - mins,mins,
1293,29,m,time - mins,mins,
1294,30,m,time - mins,mins,
1295,31,m,time - mins,mins,
1296,32,m,time - mins,mins,
1297,33,m,time - mins,mins,
1298,34,m,time - mins,mins,
1299,35,m,time - mins,mins,
1300,36,m,time - mins,mins,
1301,37,m,time - mins,mins,
1302,38,m,time - mins,mins,
1303,39,m,time - mins,mins,
1304,40,m,time - mins,mins,
1305,41,m,time - mins,mins,
1306,42,m,time - mins,mins,
1307,43,m,time - mins,mins,
1308,44,m,time - mins,mins,
1309,45,m,time - mins,mins,
1310,46,m,time - mins,mins,
1311,47,m,time - mins,mins,
1312,48,m,time - mins,mins,
1313,49,m,time - mins,mins,
1314,50,m,time - mins,mins,
1315,51,m,time - mins,mins,
1316,52,m,time - mins,mins,
1317,53,m,time - mins,mins,
1318,54,m,time - mins,mins,
1319,55,m,time - mins,mins,
1320,56,m,time - mins,mins,
1321,57,m,time - mins,mins,
1322,58,m,time - mins,mins,
1323,59,m,time - mins,mins,
1325,00 - hundred-hours,m,time - mins,mins,
1334,Platform A,e,,,
1335,Platform B,e,,,
1336,Platform C,e,,,
1337,Platform D,e,,,
1340,first capital connect,m,,toc,
1400,the train now approaching platform 4 is the delayed 0859 connex south central service to london victoria and brixton,w,phil. Sounds like a test announcement that got left over - it appears to be stitched together rather than natural,,
1401,ABD,e,,station,
1402,ACR,e,,station,
1403,"ADC,ADL",e,,station,
1407,ALM,e,,station,
1408,ALP,e,,station,
1409,CHU,e,,station,
1409a,ANN,e,,station,
1410,AFV,e,,station,
1411,APP,e,,station,
1412,APB,e,,station,
1413,ARB,e,,station,
1414,ADK,e,,station,
1415,AWT,e,,station,
1416,GTR,e,,station,
1416a,ARR,e,,station,
1417,ABY,e,,station,
1418,AHN,e,,station,
1419,ATN,e,,station,
1420,ATB,e,,station,
1421,KTL,e,,station,
1422,AUK,e,,station,
1423,AYR,e,,station,
1424,BLD,e,,station,
1425,BMB,e,,station,
1426,BAM,e,,station,
1427,BAN,e,,station,
1428,BAR,e,,station,
1429,BTB,e,,station,
1430,BNY,e,,station,
1431,BRR,e,,station,
1432,BRL,e,,station,
1433,BSK,e,,station,
1435,BDM,e,,station,
1436,BEE,e,,station,
1437,BLV,e,,station,
1438,BEM,e,,station,
1439,BEY,e,,station,
1440,BEN,e,,station,
1441,"BTY,BYK",e,,station,
1442,BBW,e,,station,
1443,"BRK,BWK",e,,station,
1444,BWK,e,,station,
1445,BES,e,,station,
1446,BEV,e,,station,
1447,BIL,e,,station,
1448,BIY,e,,station,
1449,BWD,e,,station,
1450,BHI,e,,station,
1451,BHM,e,,station,
1452,Birmingham,e,,station,
1453,BBN,e,,station,
1454,BPN,e,,station,
1455,BPB,e,,station,
1456,BPS,e,,station,
1457,EDP,e,,station,
1457a,Blackpool,e,,station,
1458,BLK,e,,station,
1459,BOD,e,,station,
1460,BON,e,,station,
1463,BMH,e,,station,
1465,BDQ,e,,station,
1466,BDI,e,,station,
1467,"BMY,BLE",e,,station,
1468,BSM,e,,station,
1469,BDY,e,,station,
1470,BGN,e,,station,
1471,BWT,e,,station,
1472,BDT,e,,station,
1473,BTN,e,,station,
1474,BGH,e,,station,
1477,BPW,e,,station,
1478,BRI,e,,station,
1480,BGE,e,,station,
1481,BCU,e,,station,
1487,BGL,e,,station,
1490,BNA,e,,station,
1491,"BUD,BUI",e,,station,
1492,MCO,e,,station,
1493,Burnley Transpennine,e,,station,
1494,BCB,e,,station,
1495,BUT,e,,station,
1496,BSE,e,,station,
1497,CBN,e,,station,
1498,CBG,e,,station,
1499,Cardiff,e,,station,
1500,CDB - Cardiff Bute Road,e,,station,
1501,CDF,e,,station,
1502,CDQ,e,,station,
1503,CAK,e,,station,
1504,CAR,e,,station,
1506,CAN,e,,station,
1507,CRS,e,,station,
1513,CNM,e,,station,
1514,CYT,e,,station,
1515,CTR,e,,station,
1516,CHD,e,,station,
1517,CLS,e,,station,
1518,CLY,e,,station,
1519,CRL,e,,station,
1520,CHF,e,,station,
1521,CTW,e,,station,
1531,COV,e,,station,
1532,CRE,e,,station,
1535,CMY,e,,station,
1537,CUP,e,,station,
1539,DAR,e,,station,
1542,DWL,e,,station,
1543,DWW,e,,station,
1548,DBY,e,,station,
1554,DON,e,,station,
1560,DMF,e,,station,
1561,DUN,e,,station,
1562,DEE,e,,station,
1563,DNL,e,,station,
1564,DHM,e,,station,
1578,EDB,e,,station,
1583,EXD,e,,station,
1585,FKK,e,,station,
1586,FKG,e,,station,
1596,KIN,m,,station,
1607,GIR,e,,station,
1609,GLC,e,,station,
1610,GLQ,e,,station,
1616,GRA,e,,station,
1619,GEA,e,,station,
1643,"HAL,HYL",e,,station,
1644,HYM,e,,station,
1646,HDG,e,,station,
1647,HBD,e,,station,
1668,HUL,e,,station,
1672,HUN,e,,station,
1673,HNX,e,,station,
1680,INK,e,,station,
1681,INV,e,,station,
1687,KNS,e,,station,
1689,KID,e,,station,
1690,KMK,e,,station,
1691,KLM,e,,station,
1695,KDY,e,,station,
1704,LDY,e,,station,
1705,LAN,e,,station,
1710,LMS,e,,station,
1711,LDS,e,,station,
1712,LEI,e,,station,
1713,LEU,e,,station,
1716,LSK,e,,station,
1721,LIV,e,,station,
1722,LOC,e,,station,
1724,EUS,e,,station,
1725,KGX,e,,station,
1726,MYB,e,,station,
1727,MOG - London Moorgate,e,,station,
1728,PAD,e,,station,
1729,STP,e,,station,
1736,LOS,e,,station,
1745,MIA,e,,station,
1746,MCO,e,,station,
1747,MAN,e,,station,
1748,MCV,e,,station,
1749,Manchester,e,,,
1750,MHR,e,,station,
1751,MNC,e,,station,
1755,MAU,e,,station,
1756,MAY,e,,station,
1757,MHS,e,,station,
1763,MCE,e,,station,
1766,MBR,e,,station,
1772,MTS,e,,station,
1778,MPT,e,,station,
1783,MTH,e,,station,
1787,NNG,e,,station,
1788,NCL,e,,station,
1790,NCK,e,,station,
1797,NQY,e,,station,
1798,NTA,e,,station,
1801,NOA,e,,station,
1802,NIT,e,,station,
1806,NTR,e,,station,
1808,NOT,e,,station,
1813,OXF,e,,station,
1814,OXN,e,,station,
1815,OXN - The Lake District,e,,station,
1816,PAD - Paddington,e,,station,
1817,PDG,e,,station,
1818,PGN,e,,station,
1820,PAR,e,,station,
1827,PNZ,e,,station,
1828,PTH,e,,station,
1829,PBO,e,,station,
1831,PLY,e,,station,
1832,PWW,e,,station,
1836,POO,e,,station,
1838,PLN,e,,station,
1840,PTW,e,,station,
1841,PTL,e,,station,
1843,PRE,e,,station,
1844,QUI,e,,station,
1848,RDG,e,,station,
1854,RED,e,,station,
1855,RET,e,,station,
1860,ROC,e,,station,
1870,SLD,e,,station,
1879,SQH,e,,station,
1881,SCA,e,,station,
1889,SHF,e,,station,
1912,SPF,e,,station,
1920,SAU,e,,station,
1921,SCR,e,,station,
1922,SER,e,,station,
1926,STT,e,,station,
1927,SVG,e,,station,
1928,STR,e,,station,
1932,SOT,e,,station,
1933,SPT,e,,station,
1938,STN,e,,station,
1939,SUN,e,,station,
1944,TAM,e,,station,
1945,TAU,e,,station,
1946,TGM,e,,station,
1953,TVP,e,,station,
1957,TOT,e,,station,
1959,TRN,e,,station,
1960,TRU,e,,station,
1967,WKF,e,,station,
1974,WSM,e,,station,
1979,WID,e,,station,
1980,WGW,e,,station,
1981,WIN,e,,station,
1982,WDM,e,,station,
1984,WVH,e,,station,
1994,YRK,e,,station,
2006,WBQ,e,,station,
2017,BTH,e,,station,
2091,HEX,e,,station,
2139,PNR - Penrith,e,,station,
2178,SOU,e,,station,
2186,STA,e,,station,
2187,SCS,e,,station,
2200,TRO,e,,station,
2216,WML,e,,station,
2229,SOA,e,,station,
2264,oclock,e,,,
2265,01,e,time - mins,mins,
2266,02,e,time - mins,mins,
2267,03,e,time - mins,mins,
2268,04,e,time - mins,mins,
2269,05,e,time - mins,mins,
2270,06,e,time - mins,mins,
2271,07,e,time - mins,mins,
2272,08,e,time - mins,mins,
2273,09,e,time - mins,mins,
2274,10,e,time - mins,mins,
2275,11,e,time - mins,mins,
2276,12,e,time - mins,mins,
2277,13,e,time - mins,mins,
2278,14,e,time - mins,mins,
2279,15,e,time - mins,mins,
2280,16,e,time - mins,mins,
2281,17,e,time - mins,mins,
2282,18,e,time - mins,mins,
2283,19,e,time - mins,mins,
2284,20,e,time - mins,mins,
2285,21,e,time - mins,mins,
2286,22,e,time - mins,mins,
2287,23,e,time - mins,mins,
2288,24,e,time - mins,mins,
2289,25,e,time - mins,mins,
2290,26,e,time - mins,mins,
2291,27,e,time - mins,mins,
2292,28,e,time - mins,mins,
2293,29,e,time - mins,mins,
2294,30,e,time - mins,mins,
2295,31,e,time - mins,mins,
2296,32,e,time - mins,mins,
2297,33,e,time - mins,mins,
2298,34,e,time - mins,mins,
2299,35,e,time - mins,mins,
2300,36,e,time - mins,mins,
2301,37,e,time - mins,mins,
2302,38,e,time - mins,mins,
2303,39,e,time - mins,mins,
2304,40,e,time - mins,mins,
2305,41,e,time - mins,mins,
2306,42,e,time - mins,mins,
2307,43,e,time - mins,mins,
2308,44,e,time - mins,mins,
2309,45,e,time - mins,mins,
2310,46,e,time - mins,mins,
2311,47,e,time - mins,mins,
2312,48,e,time - mins,mins,
2313,49,e,time - mins,mins,
2314,50,e,time - mins,mins,
2315,51,e,time - mins,mins,
2316,52,e,time - mins,mins,
2317,53,e,time - mins,mins,
2318,54,e,time - mins,mins,
2319,55,e,time - mins,mins,
2320,56,e,time - mins,mins,
2321,57,e,time - mins,mins,
2322,58,e,time - mins,mins,
2323,59,e,time - mins,mins,
2343,staff shortages,e,,disruption-reason,
2358,PNR,m,,station,
2359,DYC,m,,station,
2360,INR,m,,station,
2361,INS,m,,station,
2362,HNT,m,,station,
2363,KEH,m,,station,
2364,ELG,m,,station,
2365,FOR,m,,station,
2366,NRN,m,,station,
2408,has been cancelled,e,,,
2409,the next service to,s,,,
2428,MTC,m,,station,
2455,a security alert,m,,disruption-reason,
2456,a security alert,e,,disruption-reason,
2464,southeastern trains,m,,toc,
2493,engineering work,m,,disruption-reason,
2494,engineering work,e,,disruption-reason,
2495,the,s,,,
2596,KIN,e,,station,
2620,BLL,m,,station,
2622,BLO,m,,station,
2623,"BMP,BRP",m,,station,
2627,CRB,m,,station,
2632,DOT,m,,station,
2642,HTW,m,,station,
2643,HLY,m,,station,
2644,HWH,m,,station,
2645,HDB,m,,station,
2651,ING,m,,station,
2659,PRU,m,wrong pronunciation,station,
2660,"JOH,JHN",m,,station,
2661,RDM,m,,station,
2665,SKS,m,,station,
2668,WRL,m,,station,
2670,WGN,m,,station,
2671,WYM,m,,station,
2681,KGH,m,,station,
2682,KGE,m,,station,
2683,KKN,m,,station,
2684,KKN,m,,station,
2704,LBT,m,,station,
2705,LNZ,m,,station,
2706,LIN,m,,station,
2707,LSN,m,,station,
2708,LVG,m,,station,
2709,LCG,m,,station,
2710,LND,m,,station,
2732,MON,m,,station,
2753,NWR,m,,station,
2754,NBW,m,,station,
2755,NQU,m,,station,
2787,CHX - Charing Cross,m,,station,
2792,PIT,m,,station,
2793,PMT,m,,station,
2794,PST,m,,station,
2821,ROS,m,,station,
2844,SHS,m,,station,
2845,SLA,m,,station,
2846,SGL,m,,station,
2847,STG,m,,station,
2850,AVM,m,,station,
2851,BSI,m,,station,
2853,BHG,m,,station,
2854,BLH,m,,station,
2855,BBG,m,,station,
2856,BLA,m,,station,
2857,BEA,m,,station,
2858,BRC,m,,station,
2859,BYF,m,,station,
2860,BTS,m,,station,
2860 Old,BTS,m,mispronounced,station,
2861,CBL,m,,station,
2862,CMO,m,,station,
2863,CDD,m,,station,
2864,CRF,m,,station,
2865,CAN,m,,station,
2866,CAG,m,,station,
2867,CEA,m,,station,
2868,COW,m,,station,
2869,CRO,m,,station,
2870,UDD,m,,station,
2871,UHA,m,,station,
2872,CUH,m,,station,
2873,DAM,m,,station,
2874,DLW,m,,station,
2875,DRM,m,,station,
2876,DBL,m,,station,
2878,DKD,m,,station,
2879,EDB - Edinburgh Waverley,m,,station,
2880,FLD,m,,station,
2881,GLE,m,,station,
2883,GLT,m,,station,
2884,GOF,m,,station,
2892,WAF,m,,station,
2893,WCL,m,,station,
2894,WTA,m,,station,
2923,AUR,m,,station,
2924,ADW,m,,station,
3012,please note that cycles may not be carried on this train,w,,,
3013,please note that cycles cannot be carried on this train,w,,,
3014,please note that it is not possible to convey cycles,w,,,
3015,please note that it is not possible to convey cycles or large items of luggage,s,,,
3016,cannot be conveyed on this train,e,,,
3017,may not be conveyed on this train,e,,,
3019,we are sorry to announce,s,,,
3020,that pre-reserved seats,m,,,
3021,may not be available on this train,e,,,
3022,are not available on this service,e,,,
3023,please note that today this train is in reverse formation,w,,,
3024,please note that this train is in reverse formation today,w,,,
3025,first class accommodation is situated towards the rear,"s,m",,,
3026,standard class accommodation is towards the front,e,,,
3027,standard class accommodation is towards the front of this train,e,,,
3028,please note that this train will today not call at,s,,,
3031,please note,s,,,
3032,first class accommodation is situated towards the front,s,,,
3033,standard class accommodation is towards the rear,e,,,
3034,this train will call at stations with short platforms,w,,,
3035,please listen for announcements on board the train,w,,,
3036,this train will be calling at stations with short platforms,w,,,
3066,stand well away from the train at platform,s,,,
3067,this train is not for public use,e,,,
3068,please do not join the train at platform,s,,,
3069,this train is being cleaned and prepared for its next service,e,,,
3070,a further announcement will be made when this,s,,,
3071,train is ready to board,e,,,
3072,due to a security alert at this station,s,,,
3073,customers are advised to evacuate the station by the nearest exit,e,,,
3074,apologies to customers,m,,,
3075,waiting for trains at this station,e,,,
3076,due to operational problems,s,,,
3077,may be subject to delay,e,,,
3115,i am sorry to announce that the,s,,,
3120,is being delayed,e,,,
3148,this is,s,,,
3224,has been cancelled,e,,,
3227,please note that this train,s,,,
3268,first great western,m,,toc,
3358,PNR,e,,station,
3359,DYC,e,,station,
3360,INR,e,,station,
3361,INS,e,,station,
3362,HNT,e,,station,
3363,KEH,e,,station,
3364,ELG,e,,station,
3365,FOR,e,,station,
3366,NRN,e,,station,
3428,MTC,e,,station,
3459,scotrail,m,,toc,
3464,southeastern trains,e,,toc,
3620,BLL,e,,station,
3622,BLO,e,,station,
3623,"BMP,BRP",e,,station,
3627,CRB,e,,station,
3632,DOT,e,,station,
3642,HTW,e,,station,
3643,HLY,e,,station,
3644,HWH,e,,station,
3645,HDB,e,,station,
3651,ING,e,,station,
3659,PRU,e,wrong pronunciation,station,
3660,"JOH,JHN",e,,station,
3661,RDM,e,,station,
3665,SKS,e,,station,
3668,WRL,e,,station,
3670,WGN,e,,station,
3671,WYM,e,,station,
3681,KGH,e,,station,
3682,KGE,e,,station,
3683,KKN,e,,station,
3684,KKN,e,,station,
3704,LBT,e,,station,
3705,LNZ,e,,station,
3706,LIN,e,,station,
3707,LSN,e,,station,
3708,LVG,e,,station,
3709,LCG,e,,station,
3710,LND,e,,station,
3732,MON,e,,station,
3753,NWR,e,,station,
3754,NBW,e,,station,
3755,NQU,e,,station,
3787,CHX - Charing Cross,e,,station,
3792,PIT,e,,station,
3793,PMT,e,,station,
3794,PST,e,,station,
3821,ROS,e,,station,
3844,SHS,e,,station,
3845,SLA,e,,station,
3846,SGL,e,,station,
3847,STG,e,,station,
3850,AVM,e,,station,
3851,BSI,e,,station,
3853,BHG,e,,station,
3854,BLH,e,,station,
3855,BBG,e,,station,
3856,BLA,e,,station,
3857,BEA,e,,station,
3858,BRC,e,,station,
3859,BYF,e,,station,
3860,BTS,e,,station,
3860 Old,BTS,e,mispronounced,station,
3861,CBL,e,,station,
3862,CMO,e,,station,
3863,CDD,e,,station,
3864,CRF,e,,station,
3865,CAN,e,,station,
3866,CAG,e,,station,
3867,CEA,e,,station,
3868,COW,e,,station,
3869,CRO,e,,station,
3870,UDD,e,,station,
3871,UHA,e,,station,
3872,CUH,e,,station,
3873,DAM,e,,station,
3874,DLW,e,,station,
3875,DRM,e,,station,
3876,DBL,e,,station,
3878,DKD,e,,station,
3879,EDB - Edinburgh Waverley,e,,station,
3880,FLD,e,,station,
3881,GLE,e,,station,
3883,GLT,e,,station,
3884,GOF,e,,station,
3892,WAF,e,,station,
3893,WCL,e,,station,
3894,WTA,e,,station,
3923,AUR,e,,station,
3924,ADW,e,,station,
4031,please note,s,,,
