id,script,inflection,comment,type,suppress
133,a points failure,m,,disruption-reason,
134,signalling difficulties,m,,disruption-reason,
135,the late arrival of an incoming train,m,,disruption-reason,
136,bad weather conditions,m,,disruption-reason,
137,engineering works,m,,disruption-reason,
138,vandalism,m,,disruption-reason,
139,a train failure,m,,disruption-reason,
140,overhead electric line problems,m,,disruption-reason,
143,trespass on the line,m,,disruption-reason,
144,victoria line,m,,,
145,suspected damage to a railway bridge,m,,disruption-reason,
146,intercity services,m,,,
147,please stand clear,s,,,
148,of the platform edges on,m,,,
149,a derailment,m,,disruption-reason,
150,we apologise to passengers just arrived at,s,,,
151,for the late arrival of their train,e,,,
152,this was due to,s,,,
153,is not in public service,e,,,
154,please do not join this train,w,,,
155,the train just arrived at,s,,,
156,all change please all change,w,,,
157,the next train to arrive at,s,,,
158,will depart from,m,,,
159,will be the first stop,e,,,
160,fast from,m,,,
161,we regret that,s,,,
162,cycles and prams cannot be conveyed by this bus service,e,,,
163,also,m,,,
164,intermediate stations to,m,,,
165,at,m,,,
169,where the train will terminate due to engineering work,e,,,
170,a special bus service is in operation from,s,,,
175,is at,m,,,
176,has been cancelled,m,,,
177,this station,m,,,
178,please proceed to the front of the station,w,,,
179,is the (old),m,,,
180,the train at,s,,,
181,operational problems,m,,disruption-reason,
182,operational problems,e,,disruption-reason,
184,is delayed,e,,,
185,a buffet service,m,,,
186,a restaurant service,m,,,
191,due to arrive at,m,,,
196,and go forward as the,m,,,
201,1,"s,m",,platform,
202,2,"s,m",,platform,
203,3,"s,m",,platform,
204,4,"s,m",,platform,
205,5,"s,m",,platform,
206,6,"s,m",,platform,
207,7,"s,m",,platform,
208,8,"s,m",,platform,
209,9,"s,m",,platform,
210,10,"s,m",,platform,
211,11,"s,m",,platform,
212,12,"s,m",,platform,
213,13,"s,m",,platform,
214,14,"s,m",,platform,
215,15,"s,m",,platform,
216,16,"s,m",,platform,
217,17,"s,m",,platform,
218,18,"s,m",,platform,
219,19,"s,m",,platform,
220,20,"s,m",,platform,
221,for its next journey,e,,,
222,thank you for your cooperation,e,,,
223,passengers are requested,s,,,
224,not to board,m,,,
225,the next train to arrive at,m,,,
228,8,m,,platform,
229,suspected damage to a railway bridge,m,,disruption-reason,
230,an incident on the line,m,,disruption-reason,
231,a fatality,m,,disruption-reason,
236,an incident on the line,e,,disruption-reason,
237,suspected damage to a railway bridge,e,,disruption-reason,
238,a fatality,e,,disruption-reason,
241,1,e,,platform,
242,2,e,,platform,
243,3,e,,platform,
244,4,e,,platform,
245,5,e,,platform,
246,6,e,,platform,
247,7,e,,platform,
248,8,e,,platform,
249,9,e,,platform,
250,10,e,,platform,
251,11,e,,platform,
252,12,e,,platform,
253,13,e,,platform,
254,14,e,,platform,
255,15,e,,platform,
256,16,e,,platform,
257,17,e,,platform,
258,18,e,,platform,
259,19,e,,platform,
260,20,e,,platform,
279,where the train will continue to,m,,,
285,additional,m,,toc,
288,special charter,m,,toc,
294,arriva trains,m,,toc,
295,arriva transpennine,m,,toc,
300,stopping,m,,toc,
310,a replacement bus service is in operation from,s,,,
311,where the train will restart for,m,,,
312,where the train will then divide,m,,,
314,please make sure you travel in the correct part of this train,w,,,
315,must travel in the,m,,,
316,a security alert,e,,disruption-reason,
317,where the train will divide,e,newer recording,,
318,please travel in the,s,,,
326,via sidcup,m,,,
327,via sidcup,e,,,
328,via bexley heath,m,,,
329,via bexley heath,e,,,
334,via greenwich,m,,,
335,via greenwich,e,,,
337,via blackheath and woolwich,m,,,
338,via blackheath and woolwich,e,,,
340,via north kent,m,,,
341,via north kent,e,,,
344,via lewisham,m,,,
345,via lewisham,e,,,
349,via ladywell,m,,,
350,via ladywell,e,,,
351,stand well away from the edge of platform,s,,,
362,customers are requested,s,,,
365,the next train at platform,s,,,
395,please do not,s,,,
396,join this train,e,,,
400,sfx - three chimes,,,,
401,ABD,m,,station,
402,ACR,m,,station,
403,"ADC,ADL",m,,station,
404,AWK,m,,station,
405,ALF (old),m,,station,
406,Allerton,m,,station,
408,ALP,m,,station,
409,ANN,m,,station,
410,AFV,m,,station,
411,APP,m,,station,
412,APB,m,,station,
413,ARB,m,,station,
414,ADK,m,,station,
415,AWT,m,,station,
416,ARR,m,,station,
417,ABY,m,,station,
418,AHN,m,,station,
419,ATN,m,,station,
420,ATB,m,,station,
421,KTL,m,,station,
422,AUK,m,,station,
423,AYR,m,,station,
424,BLD,m,,station,
425,BMB,m,,station,
426,BAM,m,,station,
427,BAN,m,,station,
428,BAR,m,,station,
429,BTB,m,,station,
430,BNY,m,,station,
431,BRR,m,,station,
432,BRL,m,,station,
433,BSK,m,,station,
434,BTL,m,,station,
435,BDM,m,,station,
436,BEE,m,,station,
437,BLV,m,,station,
438,BEM,m,,station,
439,BEY,m,,station,
440,BEN,m,,station,
441,"BTY,BYK",m,,station,
442,BBW,m,,station,
443,BRK,m,,station,
444,BWK,m,,station,
445,BES,m,,station,
446,BEV,m,,station,
447,BIL,m,,station,
448,BIY,m,,station,
449,BWD,m,,station,
450,BHI,m,,station,
451,BHM,m,,station,
452,BUX,m,,station,
453,BBN,m,,station,
454,BPN,m,,station,
455,BPB,m,,station,
456,BPS,m,,station,
457,BCV,m,,station,
458,BLK,m,,station,
459,BOD,m,,station,
460,BON,m,,station,
462,BSN,m,,station,
463,BMH,m,,station,
465,BDQ,m,,station,
466,BDI,m,,station,
467,"BMY,BLE",m,,station,
468,BSM,m,,station,
469,BDY,m,,station,
470,BGN,m,,station,
471,BWT,m,,station,
472,BDT,m,,station,
473,BTN,m,,station,
474,CAR,m,,station,
475,CHN,m,,station,
476,BNT,m,,station,
477,BPW,m,,station,
478,BRI,m,,station,
479,RBS,m,,station,
480,BGE,m,,station,
481,BCU,m,,station,
482,BHS,m,,station,
484,BNR,m,,station,
485,BMF,m,,station,
486,BUH,m,,station,
487,BGL,m,,station,
488,BUY,m,,station,
489,BUW,m,,station,
490,BNA,m,,station,
492,BYM,m,,station,
495,BUT,m,,station,
496,BSE,m,,station,
497,CBN,m,,station,
498,CBG,m,,station,
499,Cardiff,m,,station,
500,DBR,m,,station,
501,CDF,m,,station,
502,CDQ,m,,station,
503,DHM (old),m,,station,
504,CAR,m,,station,
505,CNF,m,,station,
506,CAN,m,,station,
507,CRS,m,,station,
508,CFD,m,,station,
509,CAS,m,,station,
510,CTL,m,,station,
511,CLN,m,,station,
512,CSR,m,,station,
513,CNM,m,,station,
514,CYT,m,,station,
515,CTR,m,,station,
516,CHD,m,,station,
517,CLS,m,,station,
518,CLY,m,,station,
520,CHF,m,,station,
521,CTW,m,,station,
522,CTK,m,,station,
523,ESM,m,,station,
524,CPY,m,,station,
525,CLE,m,,station,
526,CLI,m,,station,
527,CNS,m,,station,
528,CEY,m,,station,
530,COT,m,,station,
531,COV,m,,station,
532,CRE,m,,station,
533,CFL,m,,station,
534,CRG,m,,station,
535,CMY,m,,station,
536,CWE,m,,station,
537,CUP,m,,station,
538,DSY,m,,station,
539,DAR,m,,station,
540,DAN,m,,station,
541,DRT,m,,station,
542,DWL,m,,station,
543,DWW,m,,station,
544,DGT,m,,station,
545,DHN,m,,station,
546,DBD,m,,station,
547,DNT,m,,station,
548,DBY,m,,station,
549,DEW,m,,station,
551,DID,m,,station,
553,DOD,m,,station,
554,DON,m,,station,
555,DCH,m,,station,
556,DOR,m,,station,
557,DGS,m,,station,
558,DRF,m,,station,
559,DRO,m,,station,
560,DMF,m,,station,
561,DUN,m,,station,
562,DEE,m,,station,
563,DNL,m,,station,
564,DHM,m,,station,
565,EAG,m,,station,
566,EAL,m,,station,
567,ERL,m,,station,
569,EBL,m,,station,
570,ECR,m,,station,
571,EDY,m,,station,
572,EGF,m,,station,
573,ESL,m,,station,
575,ECC,m,,station,
576,EDL,m,,station,
577,EDG,m,,station,
578,EDB,m,,station,
581,ELR,m,,station,
583,EXD,m,,station,
584,FRF,m,,station,
585,FKK,m,,station,
587,FNW,m,,station,
588,FEA,m,,station,
589,FRY,m,,station,
590,FIL,m,,station,
591,FPK,m,,station,
592,FZW,m,,station,
593,FLI,m,,station,
594,FZH,m,,station,
595,Gainsborough,m,,station,
596,GNB,m,,station,
597,GBL,m,,station,
598,GRF,m,,station,
599,GGV,m,,station,
600,GSD,m,,station,
601,Gateshead Metrocentre,m,,station,
604,GTW,m,,station,
607,GIR,m,,station,
608,Glasgow,m,,station,
609,GLC,m,,station,
610,GLQ,m,,station,
611,GLZ,m,,station,
612,GCR,m,,station,
613,GOE,m,,station,
614,GOO,m,,station,
615,GTO,m,,station,
616,GRA,m,,station,
617,GYM,m,,station,
618,GNF,m,,station,
619,GEA,m,,station,
620,GMD,m,,station,
621,GMB,m,,station,
623,GRN,m,,station,
624,GUI,m,,station,
625,GSY,m,,station,
626,HAB,m,,station,
627,HGF,m,,station,
628,HED,m,,station,
629,HFX,m,,station,
630,HPN,m,,station,
631,HPQ - Harwich Parkstone Quay,m,,station,
632,HAT,m,,station,
633,HMM,m,,station,
634,HGT,m,,station,
635,HPL,m,,station,
636,Harwich,m,,station,
637,HWC,m,,station,
639,HFS,m,,station,
640,HSG,m,,station,
641,HVN,m,,station,
643,"HAL,HYL",m,,station,
644,HYM (old),m,,station,
645,HDY,m,,station,
646,HDG,m,,station,
647,HBD,m,,station,
648,HEC,m,,station,
649,HLD,m,,station,
650,HEL,m,,station,
651,HES,m,,station,
652,HEW,m,,station,
653,HHB - Heysham,m,,station,
654,HHB,m,,station,
655,HIG,m,,station,
656,HIN,m,,station,
657,HIT,m,,station,
658,HOY,m,,station,
659,"HOP,HPE",m,,station,
660,HBP,m,,station,
661,HRS,m,,station,
662,HIR,m,,station,
663,HSC,m,,station,
664,HGN,m,,station,
665,HOW,m,,station,
666,HBB,m,,station,
667,HUD,m,,station,
668,HUL,m,,station,
669,HUP,m,,station,
670,HCT,m,,station,
671,HUB,m,,station,
672,HUN,m,,station,
673,HNX,m,,station,
674,HUT,m,,station,
675,HUY,m,,station,
676,HYC,m,,station,
677,HYT,m,,station,
678,ILK,m,,station,
679,INC,m,,station,
680,INK,m,,station,
681,INV,m,,station,
682,IPS,m,,station,
683,IRL,m,,station,
684,KSL,m,,station,
685,KEI,m,,station,
686,KEN,m,,station,
687,KNS,m,,station,
688,KET,m,,station,
689,KID,m,,station,
690,KMK,m,,station,
691,KLM,m,,station,
692,KGX - Kings Cross,m,,station,
693,KLN,m,,station,
694,KSW,m,,station,
695,KDY,m,,station,
696,KRK,m,,station,
697,KKM - Kirkham,m,,station,
698,KKM,m,,station,
700,KIV,m,,station,
701,KVP,m,,station,
702,KNA,m,,station,
703,KNO,m,,station,
704,LDY,m,,station,
705,LAN,m,,station,
706,LGW,m,,station,
707,LGM,m,,station,
708,LZB,m,,station,
710,LMS,m,,station,
711,LDS,m,,station,
712,LEI,m,,station,
713,LEU,m,,station,
714,LEY,m,,station,
715,LCN - Lincoln,m,,station,
716,LSK,m,,station,
717,LIC - Lichfield,m,,station,
718,LIC,m,,station,
719,LTV,m,,station,
720,LTL,m,,station,
721,LIV,m,,station,
722,LOC,m,,station,
724,EUS,m,,station,
725,KGX,m,,station,
726,MYB,m,,station,
727,MOG - London Moorgate,m,,station,
728,PAD,m,,station,
729,STP,m,,station,
730,London Underground services,m,,,
731,LGK,m,,station,
732,LGE,m,,station,
733,LPR,m,,station,
734,LOT,m,,station,
735,LOH,m,,station,
736,LOS,m,,station,
737,LBO,m,,station,
738,LWT,m,,station,
739,LMR,m,,station,
740,LUT,m,,station,
741,LTN - Luton Airport,m,,station,
742,LUX,m,,station,
743,LTM,m,,station,
744,MLT,m,,station,
745,MIA,m,,station,
746,MCO,m,,station,
747,MAN,m,,station,
748,MCV,m,,station,
749,Manchester,m,,station,
750,MHR,m,,station,
751,MNC,m,,station,
752,MPL,m,,station,
753,MSN,m,,station,
754,MSK,m,,station,
755,MAU,m,,station,
756,MAY,m,,station,
757,MHS,m,,station,
758,MMO,m,,station,
759,MNN,m,,station,
760,MEO,m,,station,
761,MEC,m,,station,
762,MGM,m,,station,
763,MCE,m,,station,
764,MEX,m,,station,
765,MIK,m,,station,
766,MBR,m,,station,
767,WHG,m,,station,
768,MLH,m,,station,
769,MIH,m,,station,
770,MIR,m,,station,
772,MTS,m,,station,
773,MOG,m,,station,
774,MSD,m,,station,
775,MRP,m,,station,
776,MCM,m,,station,
777,MLY,m,,station,
778,MPT,m,,station,
779,MSS,m,,station,
780,MSL,m,,station,
781,MOS,m,,station,
782,MSO,m,,station,
783,MTH,m,,station,
784,MYT,m,,station,
785,NFN,m,,station,
786,NTH,m,,station,
787,NNG,m,,station,
788,NCL (old),m,,station,
789,NCE,m,,station,
790,NCK,m,,station,
791,NLN,m,,station,
792,NMC,m,,station,
793,NMN,m,,station,
794,NWM,m,,station,
795,"NWE,NWP",m,,station,
796,NPD,m,,station,
797,NQY,m,,station,
798,NTA,m,,station,
799,NAY,m,,station,
800,NLW,m,,station,
801,NOA,m,,station,
802,NIT,m,,station,
803,NOR,m,,station,
804,Northern Ireland,m,,station,
805,North Wales,m,,station,
806,NTR,m,,station,
807,NRW,m,,station,
808,NOT,m,,station,
809,SKW,m,,station,
810,NUN,m,,station,
811,SPA,m,,station,
813,OXF,m,,station,
814,OXN,m,,station,
816,PAD - Paddington,m,,station,
817,PDG,m,,station,
818,PGN,m,,station,
819,PNL,m,,station,
820,PAR,m,,station,
821,PBL,m,,station,
823,PKS,m,,station,
824,PAT,m,,station,
825,Pendleton,m,,station,
826,PNS,m,,station,
827,PNZ,m,,station,
828,PTH,m,,station,
829,PBO,m,,station,
830,PLS,m,,station,
831,PLY,m,,station,
832,PWW,m,,station,
833,PFR,m,,station,
834,PFM,m,,station,
835,POT,m,,station,
836,POO,m,,station,
837,POP,m,,station,
838,PLN,m,,station,
839,PTA,m,,station,
840,PTW - Prestwick,m,,station,
841,PTL,m,,station,
842,PFY,m,,station,
843,PRE,m,,station,
844,QUI,m,,station,
845,RNH,m,,station,
846,RVN,m,,station,
847,RWC,m,,station,
848,RDG,m,,station,
849,RBS - Redcar British Steel,m,,station,
850,RCC,m,,station,
851,RCE,m,,station,
853,RDN,m,,station,
854,RED,m,,station,
855,RET,m,,station,
857,RIS,m,,station,
858,ROB,m,,station,
859,RCD,m,,station,
860,ROC,m,,station,
861,RML,m,,station,
862,WBC,m,,station,
863,RSG,m,,station,
864,RMC,m,,station,
865,WAS,m,,station,
866,"ROT,Rotterdam CS",m,,station,
867,RKT,m,,station,
868,RRB,m,,station,
869,WID,m,,station,
870,SLD,m,,station,
871,SAE,m,,station,
872,SLB,m,,station,
873,SAM,m,,station,
874,SLW,m,,station,
875,SNA,m,,station,
876,Worcester,m,,station,
878,SNK,m,,station,
879,SQH,m,,station,
880,SXY,m,,station,
881,SCA,m,,station,
882,SCU,m,,station,
883,SEB,m,,station,
884,SEA,m,,station,
885,SEM,m,,station,
886,SEC,m,,station,
887,SBY,m,,station,
888,SET,m,,station,
889,SHF (old),m,,station,
891,SIE,m,,station,
892,SHY,m,,station,
893,SRO,m,,station,
894,SHR,m,,station,
895,SLK,m,,station,
896,SKG,m,,station,
897,SKI,m,,station,
898,SWT,m,,station,
899,SLR,m,,station,
900,SLO,m,,station,
901,SMB,m,,station,
903,SOL,m,,station,
904,SBK,m,,station,
905,SES,m,,station,
906,Southampton Parkway,m,,station,
907,SOU - Southampton,m,,station,
908,SOP,m,,station,
909,SOM,m,,station,
911,SOW,m,,station,
912,SPF,m,,station,
913,SQU,m,,station,
914,SYB,m,,station,
915,SBE,m,,station,
916,SVL,m,,station,
917,SAC,m,,station,
918,SMD,m,,station,
919,SAS,m,,station,
920,SAU,m,,station,
921,SCR,m,,station,
922,SER,m,,station,
923,SHJ,m,,station,
925,SON,m,,station,
926,STT,m,,station,
927,SVG,m,,station,
928,STR,m,,station,
929,SHC,m,,station,
931,SRN,m,,station,
932,SOT,m,,station,
933,SPT,m,,station,
934,SSM,m,,station,
935,STK,m,,station,
938,STN,m,,station,
939,SUN,m,,station,
941,SWA,m,,station,
942,SWE,m,,station,
943,"SNN,SWN",m,,station,
944,TAM,m,,station,
945,TAU,m,,station,
946,TGM,m,,station,
947,THI,m,,station,
948,TBY,m,,station,
949,TNS,m,,station,
950,TNN,m,,station,
951,TPC,m,,station,
952,THC,m,,station,
953,TVP,m,,station,
954,TOD,m,,station,
955,TQY,m,,station,
956,TRR,m,,station,
957,TOT,m,,station,
958,TRA,m,,station,
959,TRN,m,,station,
960,TRU,m,,station,
961,ULL,m,,station,
962,URM,m,,station,
963,WFL,m,,station,
964,WKD,m,,station,
965,WDN,m,,station,
966,WKK,m,,station,
967,WKF (old),m,,station,
968,WRM,m,,station,
969,WAC,m,,station,
970,WET,m,,station,
971,WEL,m,,station,
972,WNN,m,,station,
973,WSA,m,,station,
974,WSM,m,,station,
975,WEY,m,,station,
976,WTB,m,,station,
977,WBD,m,,station,
978,WHN,m,,station,
979,WID,m,,station,
980,WGW,m,,station,
981,WIN,m,,station,
982,WDM,m,,station,
983,Wisbech,m,,station,
984,WVH,m,,station,
985,WOM,m,,station,
986,WDH,m,,station,
987,WDS,m,,station,
988,WLY,m,,station,
989,WOO,m,,station,
990,WOS,m,,station,
991,WRK,m,,station,
992,WRS,m,,station,
993,YRM,m,,station,
994,YRK,m,,station,
1000,Gateshead,m,,station,
1006,WBQ,m,,station,
1008,AGT,m,,station,
1009,AMY,m,,station,
1010,"AMS,Amsterdam",m,,station,
1011,ADV,m,,station,
1012,ANG,m,,station,
1013,ARU,m,,station,
1014,AVF,m,,station,
1015,BAB (old),m,,station,
1016,BAA,m,,station,
1017,BTH,m,,station,
1018,BEU,m,,station,
1019,BDH,m,,station,
1020,BIG,m,,station,
1021,BTE,m,,station,
1022,BOH,m,,station,
1023,BOE,m,,station,
1024,BOA,m,,station,
1025,BDN,m,,station,
1027,BNF,m,,station,
1028,Bristol,m,,station,
1030,"BXS,Brussels",m,,station,
1033,BUO,m,,station,
1035,CMN,m,,station,
1036,CLC,m,,station,
1037,CBY,m,,station,
1038,CPW,m,,station,
1039,CCH,m,,station,
1040,CHH,m,,station,
1041,CHR,m,,station,
1042,CLJ,m,,station,
1044,CSA,m,,station,
1045,Cowes,m,,station,
1046,CRW,m,,station,
1047,CKN,m,,station,
1048,DEN,m,,station,
1049,DMH,m,,station,
1050,DUR,m,,station,
1051,EWR,m,,station,
1052,EBN,m,,station,
1053,ENT,m,,station,
1054,EMS,m,,station,
1055,ESH,m,,station,
1056,EVE,m,,station,
1057,Exeter,m,,station,
1058,EXC,m,,station,
1059,FRM,m,,station,
1061,FNC,m,,station,
1062,FGT,m,,station,
1063,FNT,m,,station,
1064,FYS,m,,station,
1066,FSB,m,,station,
1067,FSG,m,,station,
1068,FGH,m,,station,
1069,FLE,m,,station,
1070,FOD,m,,station,
1071,FTN,m,,station,
1072,FFD,m,,station,
1073,FRO,m,,station,
1074,GIL (old),m,,station,
1075,GOD,m,,station,
1076,GBS,m,,station,
1077,GWN,m,,station,
1078,HME,m,,station,
1079,HAM,m,,station,
1080,HTF,m,,station,
1081,HSL (old),m,,station,
1082,HSK,m,,station,
1083,HGS,m,,station,
1084,HAV,m,,station,
1085,HVF,m,,station,
1087,HHE,m,,station,
1088,HXX - Heathrow Airport Express Road Coach,m,,station,
1089,HDE,m,,station,
1090,HER,m,,station,
1091,HEX,m,,station,
1092,HLS,m,,station,
1093,HNA,m,,station,
1094,HOL,m,,station,
1095,HON,m,,station,
1096,HOK,m,,station,
1097,HRH,m,,station,
1098,HOV,m,,station,
1099,IFI,m,,station,
1102,KYN,m,,station,
1104,KGM,m,,station,
1106,LKE,m,,station,
1107,LAC,m,,station,
1108,LIP,m,,station,
1109,LIS,m,,station,
1110,LIT,m,,station,
1111,LVN,m,,station,
1113,LLE,m,,station,
1114,LAS,m,,station,
1115,LBG,m,,station,
1116,LYP,m,,station,
1117,LYT,m,,station,
1118,ANF - Lyndhurst Road,m,,station,
1119,MAC,m,,station,
1120,MIC,m,,station,
1121,MLF,m,,station,
1122,MFH,m,,station,
1123,"MLB,MBK",m,,station,
1124,"MTN,MRT",m,,station,
1125,MIM,m,,station,
1126,MOR,m,,station,
1127,DBG - no 'and',m,,station,
1128,NTL,m,,station,
1129,NEM,m,,station,
1130,NUT,m,,station,
1133,"PBN,Paris",m,,station,
1134,PWY,m,,station,
1135,Paulsgrove,m,,station,
1136,PBY,m,,station,
1137,PMD,m,,station,
1138,PCD,m,,station,
1139,PNR,m,,station,
1140,PTR,m,,station,
1142,PIN,m,,station,
1143,POK,m,,station,
1144,PYC,m,,station,
1146,PTC,m,,station,
1147,PLD,m,,station,
1149,PMS,m,,station,
1150,PMH,m,,station,
1151,PRP,m,,station,
1152,PUL,m,,station,
1153,PUR,m,,station,
1154,PYL,m,,station,
1155,RDW,m,,station,
1156,RDB,m,,station,
1157,RDH,m,,station,
1158,ROM,m,,station,
1159,RLN,m,,station,
1160,RUN,m,,station,
1163,RYD,m,,station,
1164,RYP,m,,station,
1165,SAL,m,,station,
1166,SAN,m,,station,
1168,SRS,m,,station,
1170,SHN,m,,station,
1172,SHW,m,,station,
1173,SHE,m,,station,
1174,SHO,m,,station,
1175,SSE,m,,station,
1176,SKE,m,,station,
1178,SOU,m,,station,
1179,SOB,m,,station,
1180,South Wales,m,,station,
1181,SWK,m,,station,
1183,SDN,m,,station,
1184,RYR - St Johns,m,,station,
1186,STA,m,,station,
1187,SCS,m,,station,
1189,SUR,m,,station,
1190,SNW,m,,station,
1191,SWY,m,,station,
1192,SWG,m,,station,
1193,SWI,m,,station,
1194,TMC,m,,station,
1195,TEN,m,,station,
1197,TBD,m,,station,
1198,TIS,m,,station,
1199,TTN,m,,station,
1200,TRO,m,,station,
1201,UPW (old),m,,station,
1202,VIC - Victoria,m,,station,
1203,Wakefield,m,,station,
1204,WAL,m,,station,
1205,WBL,m,,station,
1206,WMN,m,,station,
1207,Warrington,m,,station,
1208,"WAT - Waterloo,WLO",m,,station,
1209,WBY,m,,station,
1210,WWO,m,,station,
1211,WSB,m,,station,
1212,WYB,m,,station,
1213,WHM,m,,station,
1214,WTL,m,,station,
1215,Wigan,m,,station,
1216,WML,m,,station,
1217,WIM,m,,station,
1218,WNF,m,,station,
1219,WTY,m,,station,
1220,WVF,m,,station,
1221,WLS,m,,station,
1222,WRH,m,,station,
1223,YMH,m,,station,
1224,YVJ (old),m,,station,
1225,AXM,m,,station,
1226,VXH,m,,station,
1227,WOK,m,,station,
1228,GLD,m,,station,
1229,SOA,m,,station,
1233,scotland,m,,,
1240,00 - midnight,s,time - mins,hour,
1241,01,s,time - mins,hour,
1242,02,s,time - mins,hour,
1243,03,s,time - mins,hour,
1244,04,s,time - mins,hour,
1245,05,s,time - mins,hour,
1246,06,s,time - mins,hour,
1247,07,s,time - mins,hour,
1248,08,s,time - mins,hour,
1249,09,s,time - mins,hour,
1250,10,s,time - mins,hour,
1251,11,s,time - mins,hour,
1252,12,s,time - mins,hour,
1253,13,s,time - mins,hour,
1254,14,s,time - mins,hour,
1255,15,s,time - mins,hour,
1256,16,s,time - mins,hour,
1257,17,s,time - mins,hour,
1258,18,s,time - mins,hour,
1259,19,s,time - mins,hour,
1260,20,s,time - mins,hour,
1261,21,s,time - mins,hour,
1262,22,s,time - mins,hour,
1263,23,s,time - mins,hour,
1264,oclock,m,,,
1265,01,m,time - mins,mins,
1266,02,m,time - mins,mins,
1267,03,m,time - mins,mins,
1268,04,m,time - mins,mins,
1269,05,m,time - mins,mins,
1270,06,m,time - mins,mins,
1271,07,m,time - mins,mins,
1272,08,m,time - mins,mins,
1273,09,m,time - mins,mins,
1274,10,m,time - mins,mins,
1275,11,m,time - mins,mins,
1276,12,m,time - mins,mins,
1277,13,m,time - mins,mins,
1278,14,m,time - mins,mins,
1279,15,m,time - mins,mins,
1280,16,m,time - mins,mins,
1281,17,m,time - mins,mins,
1282,18,m,time - mins,mins,
1283,19,m,time - mins,mins,
1284,20,m,time - mins,mins,
1285,21,m,time - mins,mins,
1286,22,m,time - mins,mins,
1287,23,m,time - mins,mins,
1288,24,m,time - mins,mins,
1289,25,m,time - mins,mins,
1290,26,m,time - mins,mins,
1291,27,m,time - mins,mins,
1292,28,m,time - mins,mins,
1293,29,m,time - mins,mins,
1294,30,m,time - mins,mins,
1295,31,m,time - mins,mins,
1296,32,m,time - mins,mins,
1297,33,m,time - mins,mins,
1298,34,m,time - mins,mins,
1299,35,m,time - mins,mins,
1300,36,m,time - mins,mins,
1301,37,m,time - mins,mins,
1302,38,m,time - mins,mins,
1303,39,m,time - mins,mins,
1304,40,m,time - mins,mins,
1305,41,m,time - mins,mins,
1306,42,m,time - mins,mins,
